"Participant","TrialNum","t0","t1","duration_sec","dt","mean_dist","mean_A","mean_B","mean_deltaAB","mean_markers","pct_frames_16plus","mid_start","mid_end","pct_mid_16plus"
"P2",27,0,5,5,0.01,1647.17584968002,1545.59056794989,1748.76113141014,-203.170563460256,12.1377245508982,41.7165668662675,1.25,3.75,39.5209580838323
"P2",28,0,4.71,4.71,0.01,1572.146749949,1536.19293663051,1608.10056326749,-71.9076266369725,14.1165254237288,55.2966101694915,1.1775,3.5325,50
"P2",29,0,7.61,7.61,0.00999999999999979,1441.60191657332,1525.22725340772,1357.97657973893,167.250673668793,12.8700787401575,53.6745406824147,1.9025,5.7075,41.994750656168
"P2",30,0,5.9,5.9,0.01,1503.81715113407,1501.71398276801,1505.92031950013,-4.20633673211865,13.6937394247039,52.7918781725888,1.475,4.425,47.2081218274112
"P2",31,0,8.11,8.11,0.00999999999999979,1711.16812787756,1725.07362257999,1697.26263317513,27.8109894048586,10.3374384236453,38.9162561576355,2.0275,6.0825,38.6699507389163
"P2",32,0,14.98,14.98,0.00999999999999979,1482.03512770256,1590.09520601783,1373.97504938728,216.120156630547,13.0166777851901,49.8999332888592,3.745,11.235,36.7578385590394
"P2",33,0,5.55,5.55,0.01,1590.9544019436,1560.5583863024,1621.35041758481,-60.7920312824029,11.3741007194245,46.5827338129496,1.3875,4.1625,43.3453237410072
"P2",37,0,5.62,5.62,0.01,1536.56366558356,1456.98018858211,1616.14714258501,-159.166954002898,13.5044404973357,47.246891651865,1.405,4.215,45.8259325044405
"P2",38,0,10.98,10.98,0.00999999999999979,1370.94163677735,1451.26618895628,1290.61708459843,160.649104357845,13.8544131028207,60.9645131938126,2.745,8.235,45.1319381255687
"P2",39,0,5.38,5.38,0.01,1582.80450531192,1603.36114116023,1562.24786946361,41.1132716966261,14.6586270871985,60.1113172541744,1.345,4.035,49.3506493506493
