Participant,TrialNum,Marker,ConditionKey,Mode,Composition,Collider,ConditionID,min_A,min_B,min_AB,min_AminusB,TrialInBlock
P1.2,35,C7,c12,VR,0R2V,1,12,1020.8496598429276,1198.4883116287237,1109.6689857358256,-177.63865178579613,1
P1.2,35,S2,c12,VR,0R2V,1,12,646.3154598604285,940.7226789125123,793.5190693864704,-294.40721905208375,1
P1.2,36,C7,c12,VR,0R2V,1,12,1025.8579635873966,1018.1147368762413,1021.986350231819,7.74322671115533,2
P1.2,36,S2,c12,VR,0R2V,1,12,662.2780640978116,431.4747922082179,546.8764281530148,230.8032718895937,2
P1.2,37,C7,c12,VR,0R2V,1,12,2746.5735901623507,1316.8747187672457,2031.7241544647982,1429.698871395105,3
P1.2,37,S2,c12,VR,0R2V,1,12,540.8022678600868,758.6917800944442,649.7470239772655,-217.88951223435743,3
P2,5,C7,c11,VR,0R2V,0,11,1020.3696617864621,1352.7483989692296,1186.5590303778458,-332.3787371827675,1
P2,5,S2,c11,VR,0R2V,0,11,758.4021377755661,978.1307808874119,868.2664593314889,-219.72864311184583,1
P2,6,C7,c11,VR,0R2V,0,11,1154.4850066386366,1321.7111600008143,1238.0980833197254,-167.22615336217768,2
P2,6,S2,c11,VR,0R2V,0,11,708.9017685789369,955.7929819535655,832.3473752662512,-246.8912133746286,2
P2,7,C7,c11,VR,0R2V,0,11,1201.024207260733,1328.7113601246215,1264.8677836926772,-127.68715286388851,3
P2,7,S2,c11,VR,0R2V,0,11,776.7690184504202,976.7064744946921,876.7377464725562,-199.93745604427193,3
P2,8,C7,c10,VR,0R2V,2,10,1130.6610670235555,1359.9686704056335,1245.3148687145945,-229.307603382078,1
P2,8,S2,c10,VR,0R2V,2,10,673.3707832363887,972.4857059444863,822.9282445904375,-299.11492270809765,1
P2,9,C7,c10,VR,0R2V,2,10,1222.2730753956157,1252.087385547224,1237.1802304714197,-29.814310151608197,2
P2,9,S2,c10,VR,0R2V,2,10,798.3480751719976,953.0551833731041,875.7016292725509,-154.7071082011065,2
P2,10,C7,c10,VR,0R2V,2,10,1214.7812715786242,1279.8940662217678,1247.3376689001961,-65.11279464314362,3
P2,10,S2,c10,VR,0R2V,2,10,783.4597565478394,929.2604351167873,856.3600958323134,-145.8006785689479,3
P2,11,C7,c12,VR,0R2V,1,12,1221.2576123800602,1304.6571169115323,1262.9573646457961,-83.39950453147208,1
P2,11,S2,c12,VR,0R2V,1,12,802.7823545185456,906.9430912933948,854.8627229059703,-104.16073677484917,1
P2,12,C7,c12,VR,0R2V,1,12,1145.2701276048456,1353.7840509765733,1249.5270892907095,-208.51392337172774,2
P2,12,S2,c12,VR,0R2V,1,12,697.7610850019756,998.5289888014478,848.1450369017117,-300.76790379947215,2
P2,13,C7,c12,VR,0R2V,1,12,1138.0892249576527,1469.9436478051823,1304.0164363814174,-331.8544228475296,3
P2,13,S2,c12,VR,0R2V,1,12,673.9760850099867,1144.2809926586872,909.128538834337,-470.30490764870046,3
P2,14,C7,c4,AR,1R1V,2,4,1092.3634962238232,1327.497521470578,1209.9305088472006,-235.13402524675485,1
P2,14,S2,c4,AR,1R1V,2,4,633.982916714141,898.3734063385679,766.1781615263544,-264.3904896244269,1
P2,15,C7,c4,AR,1R1V,2,4,1119.2499167095198,1295.8961311799328,1207.5730239447262,-176.64621447041304,2
P2,15,S2,c4,AR,1R1V,2,4,657.4602869003107,973.7162207644996,815.5882538324051,-316.2559338641888,2
P2,16,C7,c4,AR,1R1V,2,4,1131.2046808424766,1260.9659184323214,1196.085299637399,-129.76123758984477,3
P2,16,S2,c4,AR,1R1V,2,4,655.2418543114848,908.4756589067816,781.8587566091333,-253.23380459529687,3
P2,17,C7,c1,AR,0R2V,1,1,1136.0522275707658,1301.3262241993036,1218.6892258850348,-165.27399662853782,1
P2,17,S2,c1,AR,0R2V,1,1,703.045751430551,914.5796882444973,808.8127198375241,-211.5339368139463,1
P2,18,C7,c1,AR,0R2V,1,1,1146.145532001393,1163.2150141824568,1154.6802730919248,-17.069482181063904,2
P2,18,S2,c1,AR,0R2V,1,1,824.8203185514334,791.5623279103789,808.1913232309062,33.25799064105445,2
