"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left.Elbow_X","Left.Elbow_Y","Left.Elbow_Z","Right.Elbow_X","Right.Elbow_Y","Right.Elbow_Z","Left.Wrist_X","Left.Wrist_Y","Left.Wrist_Z","Right.Wrist_X","Right.Wrist_Y","Right.Wrist_Z","Left.ASIS_X","Left.ASIS_Y","Left.ASIS_Z","Right.ASIS_X","Right.ASIS_Y","Right.ASIS_Z","S2_X","S2_Y","S2_Z","Left.Knee_X","Left.Knee_Y","Left.Knee_Z","Right.Knee_X","Right.Knee_Y","Right.Knee_Z","Left.Ankle_X","Left.Ankle_Y","Left.Ankle_Z","Right.Ankle_X","Right.Ankle_Y","Right.Ankle_Z"
48,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-281.07858,998.83502,2099.30249,NA,NA,NA,-343.08929,842.4054,1900.46008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-356.30927,479.17813,2237.74463,NA,NA,NA,NA,NA,NA
49,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-290.31073,1000.0011,2090.91748,NA,NA,NA,-350.27631,840.66309,1893.59839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-360.84518,479.66025,2228.47729,NA,NA,NA,NA,NA,NA
50,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-299.03009,1001.52625,2084.1272,NA,NA,NA,-357.73309,839.69867,1888.87744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-365.09116,480.10721,2219.65161,NA,NA,NA,NA,NA,NA
51,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-307.93417,1003.30078,2075.521,NA,NA,NA,-364.83139,838.05475,1882.1322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-370.06223,481.27246,2208.80103,NA,NA,NA,NA,NA,NA
52,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-316.74747,1005.49152,2067.94775,NA,NA,NA,-372.603,834.66663,1876.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-375.11157,480.79068,2195.98926,NA,NA,NA,NA,NA,NA
53,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-325.27777,1007.99554,2060.20898,NA,NA,NA,-379.56369,833.37366,1872.09875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-380.25598,482.46118,2184.53931,NA,NA,NA,NA,NA,NA
54,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-334.08688,1010.45874,2052.59399,NA,NA,NA,-386.49179,832.45728,1867.92102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-385.2518,482.83521,2170.99268,NA,NA,NA,NA,NA,NA
55,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-342.26108,1012.97711,2044.43774,NA,NA,NA,-394.57758,830.80914,1860.64685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-390.14932,483.89642,2158.70874,NA,NA,NA,NA,NA,NA
56,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-350.51212,1015.11023,2035.98462,NA,NA,NA,-401.12927,830.12653,1855.24036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-394.73239,484.04056,2145.84668,NA,NA,NA,NA,NA,NA
57,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-358.22064,1017.11584,2028.22058,NA,NA,NA,-407.19641,828.18719,1849.3584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-400.45078,484.38037,2131.79443,NA,NA,NA,NA,NA,NA
