"Frame#","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z","NA_C60","Participant","TrialNum","VisibleMarkers"
46,0.45,"","","","-129.44203","1656.24377","2435.83813","","","","","","","","","","19.94470","1387.78577","2468.48853","","","","-161.74022","1440.62231","2469.43604","-393.77374","1041.32507","2377.74341","96.56150","1051.24646","2544.99927","","","","","","","","","","-166.35970","991.86676","2574.58105","","","","","","","71.74615","522.81372","2343.18311","","","","117.89185","188.74875","2311.58081",NA,"P3",18,8
47,0.46,"","","","-126.09394","1655.60193","2430.21631","","","","","","","","","","22.95292","1386.54297","2463.29004","","","","-158.88458","1439.56262","2465.91626","-391.19315","1039.98340","2371.82910","99.72375","1050.00354","2539.73657","","","","","","","","","","-163.35365","990.30206","2569.29956","","","","","","","73.73100","521.15076","2338.25220","","","","120.91560","189.60701","2303.76831",NA,"P3",18,8
48,0.47,"","","","-122.83489","1655.44043","2425.37744","","","","","","","","","","25.52862","1385.08582","2459.07104","","","","-155.77206","1438.51929","2461.65039","-388.99884","1039.07031","2367.65283","102.59725","1048.73975","2534.81396","","","","","","","","","","-160.26030","989.15271","2564.00439","","","","","","","75.79773","519.40234","2334.75903","","","","124.14909","188.76477","2295.85083",NA,"P3",18,8
49,0.48,"","","","-119.56139","1655.41882","2419.72974","","","","","","","","","","28.95878","1383.47668","2453.75293","","","","-152.63127","1437.01990","2457.28711","-386.30338","1038.56360","2362.46875","106.06506","1046.94910","2529.52051","","","","","","","","","","-157.61583","988.13397","2559.38232","","","","","","","78.31363","518.44354","2329.82935","","","","127.28768","187.96571","2288.36255",NA,"P3",18,8
50,0.49,"","","","-116.18351","1654.92297","2414.26587","","","","","","","","","","31.73326","1382.60291","2449.08276","","","","-149.37068","1435.99463","2452.42334","-383.90005","1037.05371","2357.17188","109.52217","1045.61328","2523.80396","","","","","","","","","","-154.28006","987.02014","2553.90796","","","","","","","80.60383","517.25354","2324.90308","","","","129.54610","187.17874","2283.85303",NA,"P3",18,8
51,0.5,"","","","-112.52892","1654.78369","2408.85522","","","","","","","","","","35.33393","1380.92004","2443.51489","","","","-146.33871","1435.13367","2448.24512","-380.78610","1036.60449","2352.71680","112.96787","1044.63257","2517.91113","","","","","","","","","","-150.65123","985.80914","2547.96558","","","","","","","83.34011","515.29547","2318.91138","","","","130.46423","185.69771","2276.63574",NA,"P3",18,8
52,0.51,"-223.96019","1593.17615","2302.89526","-109.29668","1654.21057","2403.74390","","","","","","","","","","38.42225","1379.64563","2438.61475","","","","-142.76659","1434.01221","2443.19922","-378.24542","1036.20691","2347.71094","116.32099","1043.22522","2512.38330","","","","","","","","","","-147.21004","984.70490","2542.45630","","","","","","","85.45069","513.94080","2313.59619","","","","132.07729","183.05634","2273.69165",NA,"P3",18,9
53,0.52,"-220.87538","1591.89233","2298.22485","-105.52301","1653.74182","2397.52393","","","","","","","","","","41.79642","1378.95227","2433.15967","","","","-139.41515","1432.34985","2438.49146","-375.16428","1034.82471","2342.65796","119.87048","1041.90674","2506.75513","","","","","","","","","","-143.76395","983.96057","2536.75464","","","","","","","87.19392","512.59387","2305.23853","","","","132.91119","182.19058","2271.11426",NA,"P3",18,9
54,0.53,"-217.71216","1591.44031","2293.12524","-101.98072","1653.42419","2392.52124","","","","","","","","","","45.41791","1377.77112","2427.88306","","","","-135.76335","1431.44421","2433.85181","-372.45282","1034.62842","2337.25952","123.73181","1040.76831","2500.05566","","","","","","","","","","-139.78810","982.97858","2530.58643","","","","","","","89.65543","511.18060","2299.23950","","","","133.48112","178.99567","2270.19556",NA,"P3",18,9
55,0.54,"-214.62761","1589.97900","2288.75732","-98.57413","1652.92261","2386.92529","","","","","","","","","","49.03828","1376.69897","2422.02563","","","","-132.16028","1430.74072","2429.60669","-368.98669","1034.47937","2332.72583","127.26639","1039.87756","2493.67773","","","","","","","","","","-135.74745","981.75122","2524.36572","","","","","","","92.58469","510.61713","2294.36499","","","","134.14398","177.43358","2268.41211",NA,"P3",18,9
56,0.55,"-211.38019","1589.43652","2283.57227","-95.00404","1652.45093","2381.17749","","","","","","","","","","52.54577","1375.86108","2416.40527","","","","-128.08830","1429.97937","2424.33887","-366.34412","1033.75220","2326.30420","130.99994","1039.24951","2487.72778","","","","","","","","","","-131.33105","980.49573","2517.79175","","","","","","","95.14932","509.20316","2288.65918","","","","135.11943","174.91689","2266.37744",NA,"P3",18,9
57,0.56,"-208.31108","1588.48083","2278.59668","-90.79358","1651.95789","2374.81836","","","","","","","","","","56.80835","1375.19543","2409.77490","","","","-124.28650","1428.97754","2419.87622","-364.03873","1032.62695","2323.58643","135.11444","1037.95093","2480.55396","","","","","","","","","","-127.13227","979.38562","2511.57080","","","","","","","98.19835","507.03445","2282.89624","","","","136.07487","174.22876","2263.10742",NA,"P3",18,9
58,0.57,"-205.10460","1587.99854","2273.54224","-87.38111","1651.49597","2369.17529","","","","","","","","","","60.32163","1374.25012","2404.39404","","","","-120.74554","1428.46301","2415.17017","-360.55164","1032.77319","2317.74707","139.24763","1037.15210","2473.58569","","","","","","","","","","-122.59041","978.27844","2505.07568","","","","-216.12195","473.22781","2442.41431","101.02369","507.26550","2278.68774","","","","137.12189","173.22646","2260.56592",NA,"P3",18,10
59,0.58,"-202.01921","1587.32031","2268.92065","-83.71085","1651.35645","2363.27100","","","","","","","","","","64.15501","1373.48242","2398.34448","","","","-116.73408","1428.07874","2409.62866","-357.82852","1032.35950","2311.12305","143.22887","1036.87842","2466.92798","","","","","","","","","","-117.93425","977.21417","2498.34814","","","","-213.57298","472.82169","2437.40845","104.37444","505.96768","2272.40845","-235.72504","186.82793","2613.30249","138.25983","170.97290","2258.45313",NA,"P3",18,11
60,0.59,"-198.89748","1586.54700","2264.02051","-79.99249","1651.23608","2357.09766","","","","","","","","","","68.39290","1372.78564","2392.12500","","","","-112.60242","1427.04968","2403.82886","-354.53864","1031.77185","2304.17969","147.35709","1036.13110","2459.63647","-192.65877","931.31085","2021.74426","","","","","","","-113.27224","976.42285","2491.69458","","","","-210.24086","472.45566","2432.28613","107.11004","506.02777","2265.48145","-236.67035","190.33124","2611.77271","138.93436","170.17043","2256.36206",NA,"P3",18,12
61,0.6,"-195.72173","1585.90649","2258.67383","-76.37037","1651.18286","2351.07007","","","","","","","","","","72.42911","1372.09290","2385.65698","","","","-108.40529","1426.76575","2398.87451","-351.85913","1032.15698","2297.42407","151.53850","1035.76013","2452.45898","-188.91679","932.98944","2010.66260","180.00377","853.67157","2330.86060","","","","-108.61215","975.79688","2485.12720","","","","-207.94969","472.10181","2425.74170","109.65247","506.00522","2257.56274","-234.94971","191.28192","2608.00098","139.83632","169.61505","2253.75659",NA,"P3",18,13
62,0.61,"-192.63925","1585.80176","2253.74097","-72.68194","1651.58374","2344.65698","","","","","","","-278.79324","1363.50220","2308.21997","76.35976","1372.23438","2379.90259","","","","-104.41929","1426.63586","2393.61523","-348.44006","1032.59131","2290.59937","156.15311","1034.68457","2444.65698","-185.18663","935.15558","1998.27295","183.36176","853.86267","2321.39331","","","","-104.13559","975.70752","2478.77319","","","","-203.91055","472.65643","2418.48877","112.23120","506.17078","2249.73022","-233.13168","193.85158","2606.41748","140.72279","168.89560","2251.91821",NA,"P3",18,14
