"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z"
32,0.31,-736.36353,506.49194,-1216.06995,-363.75192,1385.09082,-1153.24744,NA,NA,NA,NA,NA,NA,-622.24023,1520.92542,-1065.49292,-681.46405,1387.93262,-1242.67542,-545.98822,1270.33044,-1138.625,NA,NA,NA,-258.7135,1029.82776,-1144.09949,-484.87564,891.47607,-1359.66907,-640.25195,975.39636,-1141.68994,-797.1076,807.3598,-1316.84668,-516.08557,982.41217,-1091.6134,NA,NA,NA,NA,NA,NA,-308.11349,389.12943,-1224.45007,NA,NA,NA,-174.3979,100.62646,-1379.79626,-230.40248,787.67841,-1135.81348
33,0.32,-826.45325,73.56841,-1193.27466,-370.70779,1386.52747,-1145.4668,NA,NA,NA,NA,NA,NA,-628.12097,1522.14807,-1057.47327,-687.79773,1389.23621,-1233.85193,-551.41388,1271.99951,-1131.42529,NA,NA,NA,-266.67743,1031.97632,-1141.41846,-492.33029,893.56854,-1354.64954,-644.71118,977.47461,-1134.13354,-808.19696,810.42621,-1306.23792,-521.60388,984.38416,-1087.06677,NA,NA,NA,NA,NA,NA,-323.08942,390.59418,-1214.57385,NA,NA,NA,-187.12276,109.1228,-1371.83948,-239.39355,790.63751,-1129.65784
34,0.33,-826.18634,74.53674,-1186.13733,-376.49973,1388.57556,-1140.49207,NA,NA,NA,NA,NA,NA,-633.90619,1522.99268,-1048.90491,-695.16254,1391.10986,-1224.56311,-558.43103,1272.81775,-1124.58862,-531.91437,1453.35352,-957.89758,-275.18222,1033.50989,-1134.85107,-499.89841,894.71332,-1348.33264,-650.14417,977.05658,-1128.67883,-819.22406,813.16541,-1295.26563,-525.4256,986.08368,-1083.68054,NA,NA,NA,NA,NA,NA,-339.569,389.35129,-1205.65417,NA,NA,NA,-200.0883,118.9614,-1362.2124,-245.52336,792.45929,-1127.7616
35,0.34,-726.15442,1284.42725,-1777.92529,-382.69269,1391.06018,-1136.04761,NA,NA,NA,NA,NA,NA,-639.65051,1523.823,-1040.4762,-701.31476,1391.69507,-1213.72949,-563.08344,1274.9729,-1117.88513,NA,NA,NA,-282.01141,1035.24878,-1128.97339,-507.36273,897.16577,-1344.10327,-654.16766,981.2951,-1112.77771,-830.04486,815.86835,-1284.19727,-527.93933,989.45959,-1075.69763,NA,NA,NA,NA,NA,NA,-354.81299,388.94943,-1195.24976,NA,NA,NA,-212.99562,128.13297,-1353.22522,-255.00363,794.46814,-1119.86047
36,0.35,-733.62128,1286.62354,-1771.5116,-387.92514,1393.06323,-1130.71973,NA,NA,NA,NA,NA,NA,-645.21045,1524.72363,-1032.14685,-707.45044,1393.97559,-1209.05725,-567.80267,1276.65979,-1110.26489,NA,NA,NA,-290.38443,1036.51599,-1123.03943,-514.63403,898.6217,-1337.33118,-657.7146,982.23358,-1104.94653,-841.20117,818.15582,-1271.86389,-531.87866,991.03009,-1070.16357,NA,NA,NA,NA,NA,NA,-368.69745,390.71857,-1179.87036,NA,NA,NA,-228.19537,136.00145,-1341.76953,-261.23395,797.07172,-1116.79834
37,0.36,-776.58032,510.15878,-1200.19312,-392.94159,1395.02234,-1125.35291,NA,NA,NA,NA,NA,NA,-650.5274,1525.75854,-1023.06958,-713.36963,1395.59424,-1200.27832,-573.29346,1278.99854,-1103.27747,-546.76544,1455.27112,-933.99255,-297.50168,1038.29871,-1118.44092,-521.57379,901.79388,-1333.81384,-660.75446,982.70264,-1097.21045,-852.18781,821.49237,-1261.72754,-535.91272,990.76593,-1067.06628,NA,NA,NA,NA,NA,NA,-378.30099,394.98013,-1162.948,NA,NA,NA,-241.71071,142.89406,-1333.39771,-268.13321,798.38251,-1113.13452
38,0.37,-784.19012,510.65842,-1195.78076,-397.85117,1396.95898,-1119.97009,NA,NA,NA,NA,NA,NA,-655.73828,1526.95276,-1014.82971,-719.49988,1396.55969,-1191.32947,-577.73621,1279.89844,-1095.86694,NA,NA,NA,-304.70813,1039.229,-1111.59546,-528.26666,903.43195,-1326.65588,-663.95294,983.70624,-1090.03894,-863.21039,823.56433,-1249.22217,-537.60767,990.31042,-1059.31885,NA,NA,NA,NA,NA,NA,-386.97104,395.63336,-1146.698,NA,NA,NA,-255.30304,150.39401,-1320.61682,-276.14337,799.56897,-1107.89026
39,0.38,NA,NA,NA,-402.65146,1398.93054,-1114.34692,NA,NA,NA,NA,NA,NA,NA,NA,NA,-724.72443,1397.85596,-1182.00208,-582.08954,1280.99719,-1088.6991,NA,NA,NA,-311.98959,1040.87158,-1106.7605,NA,NA,NA,-667.47382,984.23108,-1082.58667,-873.52954,825.80969,-1237.38562,-540.59558,992.8941,-1049.76721,NA,NA,NA,NA,NA,NA,-397.70438,398.43951,-1128.83313,NA,NA,NA,-267.40073,155.35841,-1311.40027,-282.99478,801.71539,-1103.79248
40,0.39,-539.7644,908.28326,-1314.8606,-407.39792,1400.8512,-1108.86597,NA,NA,NA,NA,NA,NA,-665.54266,1528.04688,-997.90076,-729.8584,1399.46741,-1173.39502,-585.82104,1283.3833,-1082.01782,-560.1062,1455.9342,-911.03314,-314.53223,1046.41357,-1089.0553,-831.4115,1079.73987,-1258.8114,-670.87836,984.13593,-1074.69006,-884.03204,828.52148,-1225.40417,-544.08893,992.62506,-1046.27502,NA,NA,NA,NA,NA,NA,-406.50101,400.96237,-1112.07666,NA,NA,NA,-281.28775,159.76309,-1299.95496,-289.07452,804.54156,-1100.70947
41,0.4,-804.66382,510.69559,-1180.53235,-412.10321,1402.75989,-1103.38733,NA,NA,NA,NA,NA,NA,-562.59943,1456.22949,-903.12494,-736.31494,1400.07178,-1164.94312,-589.61426,1285.01355,-1075.41321,NA,NA,NA,-320.02167,1048.21838,-1085.82324,-840.00452,1080.57947,-1244.94629,-675.01251,985.96332,-1067.73779,-894.17944,830.91406,-1212.99048,-546.67358,994.21497,-1036.45813,NA,NA,NA,NA,NA,NA,-416.05243,404.39368,-1093.68335,NA,NA,NA,-295.76147,164.22523,-1288.29797,-295.49692,806.56091,-1097.28931
42,0.41,-548.75024,913.09045,-1303.64685,-416.10361,1404.24951,-1097.21863,NA,NA,NA,NA,NA,NA,-674.70715,1528.93005,-981.69574,-740.62897,1402.33447,-1155.52832,-593.32831,1285.1991,-1066.88696,NA,NA,NA,-328.42249,1047.5199,-1086.75549,-848.56744,1082.2926,-1232.91199,-678.21478,987.12256,-1060.74463,-903.7879,833.65356,-1201.20996,-551.27631,996.1723,-1031.12402,NA,NA,NA,NA,NA,NA,-425.67923,407.8837,-1076.1864,NA,NA,NA,-309.83972,166.4059,-1276.53723,-301.19696,808.42322,-1094.36499
43,0.42,-552.42706,915.5611,-1297.2113,-420.8334,1406.17676,-1091.72693,NA,NA,NA,NA,NA,NA,-679.0545,1529.50195,-973.61346,-745.92389,1402.78796,-1147.35889,-597.45013,1287.10583,-1060.99756,NA,NA,NA,-333.49109,1049.30322,-1079.53394,-856.08026,1084.87195,-1222.90918,-682.35822,988.14954,-1053.67627,-913.20459,835.84479,-1188.68506,-555.28986,998.49011,-1024.31226,NA,NA,NA,NA,NA,NA,-436.36084,411.15091,-1058.36963,NA,NA,NA,-324.93906,169.70491,-1264.73975,-306.11746,811.01892,-1092.86841
44,0.43,-817.68591,514.10095,-1172.40088,-425.50049,1408.04639,-1086.38428,NA,NA,NA,NA,NA,NA,-683.23932,1530.17859,-964.96606,-751.04962,1405.46106,-1137.80493,-600.97015,1287.16699,-1053.14722,NA,NA,NA,-337.77417,1051.36218,-1076.43872,-863.63257,1087.61084,-1213.62854,-685.43518,990.18866,-1046.64685,-922.15674,839.29364,-1178.08069,-558.03961,1000.22021,-1014.96295,NA,NA,NA,NA,NA,NA,-445.28119,414.42819,-1043.28064,NA,NA,NA,-340.99899,171.26454,-1250.3335,-310.77414,812.75873,-1087.41162
45,0.44,-820.7782,514.96729,-1170.17932,-430.19785,1409.91321,-1081.08838,NA,NA,NA,NA,NA,NA,-687.29572,1530.85999,-956.99158,-755.51996,1405.65393,-1129.23376,-604.79822,1288.91504,-1046.6499,-591.78003,1405.16687,-1218.13611,-342.03876,1052.78088,-1073.25452,-870.94739,1089.79297,-1202.91357,-689.08575,991.47736,-1039.15747,-931.53424,836.8786,-1177.45789,-562.60742,1002.13556,-1010.78839,NA,NA,NA,NA,NA,NA,-454.92801,416.76721,-1027.97327,NA,NA,NA,-356.34164,173.84338,-1236.51685,-315.39478,813.83612,-1083.245
