Participant,TrialNum,Marker,ConditionKey,Mode,Composition,Collider,ConditionID,mean_A,mean_B,mean_AB,mean_AminusB,TrialInBlock
P2,6,S2,c11,VR,0R2V,0,11,1327.698674691328,2214.5190165571544,1771.1088456242412,-886.8203418658263,2
P2,7,C7,c11,VR,0R2V,0,11,1520.9014177718316,1736.8891611917752,1628.8952894818035,-215.98774341994363,3
P2,7,S2,c11,VR,0R2V,0,11,1275.5198772091726,1656.786150087349,1466.1530136482606,-381.2662728781763,3
P2,8,C7,c10,VR,0R2V,2,10,1799.68019038509,1570.2025839651308,1684.9413871751103,229.47760641995933,1
P2,8,S2,c10,VR,0R2V,2,10,1440.0054924482968,1233.1606464467482,1336.5830694475226,206.8448460015486,1
P2,9,C7,c10,VR,0R2V,2,10,1655.0134688844423,1702.2835515051897,1678.648510194816,-47.27008262074742,2
P2,9,S2,c10,VR,0R2V,2,10,1284.6097850771134,1672.4398471093511,1478.5248160932324,-387.8300620322377,2
P2,10,C7,c10,VR,0R2V,2,10,1433.7592541294975,1690.0520633469703,1561.9056587382338,-256.2928092174727,3
P2,10,S2,c10,VR,0R2V,2,10,1254.3146866176326,1369.1445343700157,1311.729610493824,-114.8298477523831,3
P2,11,C7,c12,VR,0R2V,1,12,1967.62248016688,1538.1825156124683,1752.9024978896741,429.43996455441174,1
P2,11,S2,c12,VR,0R2V,1,12,1766.3201017090557,1405.6059658252082,1585.963033767132,360.7141358838476,1
P2,12,C7,c12,VR,0R2V,1,12,1402.8461082568272,1740.505741391976,1571.6759248244016,-337.65963313514885,2
P2,12,S2,c12,VR,0R2V,1,12,1271.7659526099599,1443.5743961329074,1357.6701743714336,-171.80844352294753,2
P2,13,C7,c12,VR,0R2V,1,12,1453.6008311760925,1757.412792597031,1605.5068118865618,-303.8119614209386,3
P2,13,S2,c12,VR,0R2V,1,12,1239.7108547391226,1436.3259200013156,1338.018387370219,-196.61506526219296,3
P2,14,C7,c4,AR,1R1V,2,4,1494.3821029287546,1602.823833633752,1548.6029682812532,-108.44173070499733,1
P2,14,S2,c4,AR,1R1V,2,4,1722.6257441313146,1373.001022313319,1547.8133832223168,349.6247218179956,1
P2,15,C7,c4,AR,1R1V,2,4,1388.668305551974,1745.9781603296017,1567.3232329407879,-357.3098547776276,2
P2,15,S2,c4,AR,1R1V,2,4,1221.2381251014378,1283.2099879463246,1252.2240565238812,-61.9718628448868,2
P2,16,C7,c4,AR,1R1V,2,4,1331.0974087706463,1770.2905440903485,1550.6939764304975,-439.19313531970215,3
P2,16,S2,c4,AR,1R1V,2,4,1149.642809850894,1392.6150174595234,1271.1289136552086,-242.97220760862933,3
P2,17,C7,c1,AR,0R2V,1,1,1814.075091446504,1494.614957691051,1654.3450245687775,319.46013375545317,1
P2,17,S2,c1,AR,0R2V,1,1,1609.733055339871,1293.526570076263,1451.629812708067,316.2064852636081,1
P2,18,C7,c1,AR,0R2V,1,1,1339.8033586616923,1724.8204702220478,1532.3119144418702,-385.0171115603555,2
P2,18,S2,c1,AR,0R2V,1,1,1126.860493314245,1431.8527594651111,1279.3566263896782,-304.99226615086604,2
P2,19,C7,c1,AR,0R2V,1,1,1422.8795962515098,1713.5058254392582,1568.192710845384,-290.6262291877483,3
