"Participant","TrialNum","ok","reason","n_rows","ConditionKey","TrialInBlock","ConditionID","ConditionLabel","Mode","Composition","Collider"
"P2",37,FALSE,"No BoxA/BoxB markers available; prop parse failed",563,"c7",3,7,"AR 2R0V + Collider1","AR","2R0V",1
"P2",38,FALSE,"No BoxA/BoxB markers available; prop parse failed",1099,"c8",1,8,"AR 1R1V + Collider1","AR","1R1V",1
"P2",39,FALSE,"No BoxA/BoxB markers available; prop parse failed",539,"c8",2,8,"AR 1R1V + Collider1","AR","1R1V",1
"P2",40,FALSE,"No BoxA/BoxB markers available; prop parse failed",479,"c8",3,8,"AR 1R1V + Collider1","AR","1R1V",1
"P3",2,FALSE,"No BoxA/BoxB markers available; prop parse failed",751,"c7",1,7,"AR 2R0V + Collider1","AR","2R0V",1
"P3",3,FALSE,"No BoxA/BoxB markers available; prop parse failed",729,"c7",2,7,"AR 2R0V + Collider1","AR","2R0V",1
"P3",4,FALSE,"No BoxA/BoxB markers available; prop parse failed",639,"c7",3,7,"AR 2R0V + Collider1","AR","2R0V",1
"P3",5,FALSE,"No BoxA/BoxB markers available; prop parse failed",583,"c8",1,8,"AR 1R1V + Collider1","AR","1R1V",1
"P3",6,FALSE,"No BoxA/BoxB markers available; prop parse failed",530,"c8",2,8,"AR 1R1V + Collider1","AR","1R1V",1
"P3",7,FALSE,"No BoxA/BoxB markers available; prop parse failed",576,"c8",3,8,"AR 1R1V + Collider1","AR","1R1V",1
"P3",8,FALSE,"No BoxA/BoxB markers available; prop parse failed",593,"c5",1,5,"AR 0R2V + Collider0","AR","0R2V",0
"P3",9,FALSE,"No BoxA/BoxB markers available; prop parse failed",535,"c5",2,5,"AR 0R2V + Collider0","AR","0R2V",0
"P3",10,FALSE,"No BoxA/BoxB markers available; prop parse failed",633,"c5",3,5,"AR 0R2V + Collider0","AR","0R2V",0
"P3",11,FALSE,"No BoxA/BoxB markers available; prop parse failed",653,"c1",1,1,"AR 0R2V + Collider1","AR","0R2V",1
"P3",12,FALSE,"No BoxA/BoxB markers available; prop parse failed",593,"c1",2,1,"AR 0R2V + Collider1","AR","0R2V",1
"P3",13,FALSE,"No BoxA/BoxB markers available; prop parse failed",677,"c1",3,1,"AR 0R2V + Collider1","AR","0R2V",1
"P3",14,FALSE,"No BoxA/BoxB markers available; prop parse failed",672,"c12",1,12,"VR 2R0V + Collider1","VR","2R0V",1
"P3",15,FALSE,"No BoxA/BoxB markers available; prop parse failed",704,"c12",2,12,"VR 2R0V + Collider1","VR","2R0V",1
"P3",16,FALSE,"No BoxA/BoxB markers available; prop parse failed",708,"c12",3,12,"VR 2R0V + Collider1","VR","2R0V",1
"P3",17,FALSE,"No BoxA/BoxB markers available; prop parse failed",644,"c10",1,10,"VR 2R0V + Collider2","VR","2R0V",2
"P3",18,FALSE,"No BoxA/BoxB markers available; prop parse failed",649,"c10",2,10,"VR 2R0V + Collider2","VR","2R0V",2
"P3",19,FALSE,"No BoxA/BoxB markers available; prop parse failed",731,"c10",3,10,"VR 2R0V + Collider2","VR","2R0V",2
"P3",20,FALSE,"No BoxA/BoxB markers available; prop parse failed",795,"c11",1,11,"VR 2R0V + Collider0","VR","2R0V",0
"P3",21,FALSE,"No BoxA/BoxB markers available; prop parse failed",614,"c11",2,11,"VR 2R0V + Collider0","VR","2R0V",0
"P3",22,FALSE,"No BoxA/BoxB markers available; prop parse failed",708,"c11",3,11,"VR 2R0V + Collider0","VR","2R0V",0
"P3",23,FALSE,"No BoxA/BoxB markers available; prop parse failed",590,"c2",1,2,"AR 2R0V + Collider0","AR","2R0V",0
"P3",24,FALSE,"No BoxA/BoxB markers available; prop parse failed",609,"c2",2,2,"AR 2R0V + Collider0","AR","2R0V",0
"P3",25,FALSE,"No BoxA/BoxB markers available; prop parse failed",575,"c2",3,2,"AR 2R0V + Collider0","AR","2R0V",0
"P3",26,FALSE,"No BoxA/BoxB markers available; prop parse failed",638,"c3",1,3,"AR 1R1V + Collider0","AR","1R1V",0
"P3",27,FALSE,"No BoxA/BoxB markers available; prop parse failed",549,"c3",2,3,"AR 1R1V + Collider0","AR","1R1V",0
"P3",28,FALSE,"No BoxA/BoxB markers available; prop parse failed",602,"c3",3,3,"AR 1R1V + Collider0","AR","1R1V",0
"P3",29,FALSE,"No BoxA/BoxB markers available; prop parse failed",596,"c4",1,4,"AR 1R1V + Collider2","AR","1R1V",2
"P3",30,FALSE,"No BoxA/BoxB markers available; prop parse failed",524,"c4",2,4,"AR 1R1V + Collider2","AR","1R1V",2
"P3",31,FALSE,"No BoxA/BoxB markers available; prop parse failed",598,"c4",3,4,"AR 1R1V + Collider2","AR","1R1V",2
"P3",32,FALSE,"No BoxA/BoxB markers available; prop parse failed",671,"c9",1,9,"AR 0R2V + Collider2","AR","0R2V",2
"P3",33,FALSE,"No BoxA/BoxB markers available; prop parse failed",646,"c9",2,9,"AR 0R2V + Collider2","AR","0R2V",2
"P3",34,FALSE,"No BoxA/BoxB markers available; prop parse failed",648,"c9",3,9,"AR 0R2V + Collider2","AR","0R2V",2
"P3",35,FALSE,"No BoxA/BoxB markers available; prop parse failed",686,"c6",1,6,"AR 2R0V + Collider2","AR","2R0V",2
"P3",36,FALSE,"No BoxA/BoxB markers available; prop parse failed",584,"c6",2,6,"AR 2R0V + Collider2","AR","2R0V",2
"P3",37,FALSE,"No BoxA/BoxB markers available; prop parse failed",672,"c6",3,6,"AR 2R0V + Collider2","AR","2R0V",2
