Frame#,Time,Headset_Front,Headset_Front_X,Headset_Front_X_X,Headset_Back,Headset_Back_X,Headset_Back_X_X,Headset_Left,Headset_Left_X,Headset_Left_X_X,Headset_Right,Headset_Right_X,Headset_Right_X_X,Left_Shoulder,Left_Shoulder_X,Left_Shoulder_X_X,Right_Shoulder,Right_Shoulder_X,Right_Shoulder_X_X,Sternum,Sternum_X,Sternum_X_X,C7,C7_X,C7_X_X,Left Elbow,Left Elbow_X,Left Elbow_X_X,Right Elbow,Right Elbow_X,Right Elbow_X_X,Left Wrist,Left Wrist_X,Left Wrist_X_X,Right Wrist,Right Wrist_X,Right Wrist_X_X,Left ASIS,Left ASIS_X,Left ASIS_X_X,Right ASIS,Right ASIS_X,Right ASIS_X_X,S2,S2_X,S2_X_X,Left Knee,Left Knee_X,Left Knee_X_X,Right Knee,Right Knee_X,Right Knee_X_X,Left Ankle,Left Ankle_X,Left Ankle_X_X,Right Ankle,Right Ankle_X,Right Ankle_X_X,Right Ankle_X_X_X,Participant,TrialNum
NA,NA,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,NA,P5,35
43,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,-164.08476,1270.65967,1539.04285,,,,-218.12291,1255.39246,1293.28247,,,,-393.73331,968.07056,1618.34131,,,,,,,-306.16058,513.99463,1715.55981,,,,-272.27621,145.45605,1931.82971,NA,P5,35
44,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,-167.90891,1269.28601,1535.40686,,,,-220.46272,1254.47058,1289.33777,,,,-398.07605,967.69604,1610.06091,,,,,,,-311.55444,512.52948,1710.83215,,,,-272.48526,146.11012,1931.16455,NA,P5,35
45,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,-170.89145,1267.72607,1532.22363,,,,-222.15485,1254.92346,1286.16418,,,,-402.51340,966.09692,1605.94153,,,,,,,-315.21213,511.39789,1705.91333,,,,-273.18140,146.55623,1929.93237,NA,P5,35
46,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,-174.39343,1266.04297,1528.74121,,,,-224.63347,1254.02747,1282.42676,,,,-406.46518,964.49677,1601.33569,,,,,,,-322.79688,508.93048,1703.71838,,,,-273.78745,147.66748,1928.45251,NA,P5,35
47,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,-177.66794,1264.55054,1525.92322,,,,-227.01624,1253.17773,1278.71155,,,,-412.02295,962.29004,1594.14160,,,,,,,-328.44189,507.07889,1700.41541,,,,-273.96832,148.15794,1929.19446,NA,P5,35
48,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,-181.31882,1262.73743,1522.49158,,,,-228.76106,1252.55518,1276.00024,,,,-416.81461,961.77985,1588.97571,,,,,,,-334.56500,505.49399,1693.19604,,,,-274.25827,149.29774,1927.33325,NA,P5,35
49,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,-184.85753,1260.83362,1519.05823,,,,-231.09262,1251.97876,1272.75720,,,,-421.46140,959.78955,1583.77319,,,,,,,-340.52277,503.19824,1690.79053,,,,-275.02240,151.21378,1926.84497,NA,P5,35
50,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,-187.94495,1258.70361,1516.63855,,,,-233.66687,1251.20801,1270.10083,,,,-428.00558,957.34631,1577.61255,,,,,,,-346.60413,500.65424,1685.44177,,,,-275.70688,152.31628,1925.44067,NA,P5,35
51,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-192.30614,1256.26025,1513.11487,,,,-235.85590,1250.72681,1266.91882,,,,-433.09393,955.87708,1571.56445,,,,,,,-353.16245,498.73630,1680.73633,,,,-277.15021,154.61139,1924.16687,NA,P5,35
52,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,-195.91910,1254.12415,1510.04651,,,,-237.90089,1249.43030,1264.12329,,,,-438.69778,953.91022,1565.90308,,,,,,,-359.21030,496.98175,1673.91931,,,,-277.72247,155.68709,1923.67273,NA,P5,35
53,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200.03326,1252.10791,1507.33032,,,,-239.92462,1248.60974,1261.91052,,,,-444.89493,952.52631,1558.52417,,,,,,,-365.97220,493.74289,1671.06970,,,,-278.53491,158.01450,1922.91187,NA,P5,35
54,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,-204.08553,1249.89014,1504.54236,,,,-242.92778,1247.01172,1259.16211,,,,-450.64120,950.17316,1551.42383,,,,,,,-372.83768,492.10187,1664.27673,,,,-280.71689,161.38481,1920.28735,NA,P5,35
55,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,-206.81630,1248.32983,1503.63269,-785.69794,1193.96631,1556.97656,-245.14334,1245.66272,1257.26538,,,,-457.06552,947.64221,1547.33252,,,,,,,-379.37048,489.57483,1659.48047,,,,-281.56696,163.57967,1919.35071,NA,P5,35
56,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,-211.08295,1246.16211,1500.77930,-790.84058,1193.06274,1546.59094,-247.44742,1244.01563,1255.46716,,,,-463.87271,945.77631,1539.44629,,,,,,,-386.90659,487.65372,1653.36536,,,,-284.58768,168.10858,1917.64648,NA,P5,35
57,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,-214.91768,1244.31775,1498.70703,-795.82538,1192.22217,1536.84656,-250.84370,1242.16870,1254.10193,,,,-470.39258,944.49811,1532.87402,,,,,,,-394.62643,484.39752,1647.78711,,,,-287.01871,172.72885,1916.12854,NA,P5,35
58,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,-218.87505,1241.84497,1497.33179,-800.79333,1191.64124,1526.51526,-253.14742,1240.89990,1252.79773,,,,-476.86340,943.17291,1525.74670,,,,,,,-402.05237,482.32263,1640.26172,,,,-290.96957,179.28323,1911.47510,NA,P5,35
59,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,-223.21501,1239.61157,1496.51013,-805.50201,1192.24524,1508.49048,-256.07944,1238.78271,1251.79565,,,,-483.79895,942.15631,1518.07556,,,,,,,-410.50858,480.74030,1634.23413,,,,-295.66422,186.14522,1906.92310,NA,P5,35
60,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,-227.03769,1237.78735,1495.74207,-809.90619,1191.50330,1498.54797,-258.55679,1237.12878,1251.43518,,,,-490.04132,941.41241,1511.81970,,,,,,,-420.12006,478.51285,1627.34033,,,,-301.81763,194.89783,1901.85889,NA,P5,35
61,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-232.51151,1235.92188,1494.84460,-814.42236,1191.94702,1487.75232,-261.39499,1234.98242,1251.58569,-764.24597,953.03717,1549.10608,-496.26816,941.68127,1504.89160,,,,,,,-429.29575,478.41641,1619.34619,,,,-309.23810,203.48170,1893.47290,NA,P5,35
62,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,-236.01248,1235.21631,1495.90479,-818.64941,1192.06946,1477.66541,-263.73267,1234.19873,1251.16113,-770.85614,953.48615,1545.93982,-502.58438,942.01288,1498.39685,,,,,,,-439.83893,477.11957,1613.43005,,,,-318.63705,212.61926,1884.32788,NA,P5,35
